Número, Nome do Titular, Tipo da Conta, Saldo
629818096,João Rodrigues,investimento,8236.93
494106033,Juliana Ferreira,corrente,1694.04
694382511,Lucas Almeida,investimento,5308.11
388548555,Maria Costa,investimento,1322.19
731612501,Sandra Araújo,poupança,823.17
853493938,Pedro Oliveira,investimento,6553.99
483101668,Sandra Nunes,poupança,7126.15
748490672,Sandra Araújo,investimento,699.11
939639092,Juliana Nunes,corrente,9180.69
820495743,Lucas Nunes,poupança,8652.3
175591069,João Almeida,corrente,4915.03
123854778,Ana Pereira,poupança,8073.06
263652112,Maria Araújo,investimento,5505.5
394515942,Ana Silva,corrente,57.8
669468888,Mariana Araújo,poupança,4243.33
082016838,Mariana Pereira,investimento,2932.13
799827997,Rafael Costa,corrente,6508.9
154372263,João Pereira,corrente,665.68
512487744,Lucas Oliveira,poupança,9703.42
332445007,Sandra Costa,poupança,6273.53
650529155,João Nunes,corrente,8505.09
707495716,Lucas Araújo,investimento,8551.92
936693710,Rafael Nunes,poupança,6675.48
660257010,João Oliveira,corrente,3391.75
422179909,João Pereira,corrente,4898.15
122659665,Ana Costa,poupança,4669.86
641004993,Rafael Silva,corrente,4249.43
918543125,Rafael Rodrigues,investimento,2937.6
375777008,Pedro Silva,poupança,5248.4
215690752,Maria Pereira,poupança,6568.96
702051328,Pedro Oliveira,investimento,2786.85
804180848,Lucas Costa,corrente,1112.98
608349407,Lucas Rodrigues,corrente,1279.75
936485352,Juliana Costa,poupança,9888.76
562802698,João Oliveira,corrente,2192.26
617037455,Pedro Costa,investimento,6595.07
632473936,Lucas Silva,corrente,6683.87
076920046,Ana Nunes,corrente,8265.53
178173591,Lucas Ferreira,poupança,9863.93
087881468,Sandra Oliveira,investimento,1324.44
583715078,Ana Costa,corrente,4383.49
594800421,Lucas Rodrigues,investimento,1986.21
019969506,Carlos Araújo,poupança,507.14
774629423,Rafael Rodrigues,investimento,4645.29
342496499,Sandra Nunes,poupança,7036.52
989178983,Ana Santos,investimento,3234.42
258643306,Maria Santos,poupança,3518.09
181801767,Pedro Santos,investimento,3451.77
795450164,Rafael Araújo,poupança,3994.01
971029180,Carlos Silva,corrente,1095.21
